Round 193: Acc: 0.74900	 Loss: 0.56332	 Msg_len: 20.000	 Edit_Dist: 20 
Round 194: Acc: 0.75400	 Loss: 0.55816	 Msg_len: 20.000	 Edit_Dist: 20 
Round 195: Acc: 0.75100	 Loss: 0.56148	 Msg_len: 20.000	 Edit_Dist: 20 
Round 196: Acc: 0.75600	 Loss: 0.55583	 Msg_len: 20.000	 Edit_Dist: 20 
Round 197: Acc: 0.75400	 Loss: 0.55829	 Msg_len: 20.000	 Edit_Dist: 20 
Round 198: Acc: 0.75100	 Loss: 0.56145	 Msg_len: 20.000	 Edit_Dist: 20 
Round 199: Acc: 0.75400	 Loss: 0.55779	 Msg_len: 20.000	 Edit_Dist: 20 
Round 200: Acc: 0.75100	 Loss: 0.56128	 Msg_len: 20.000	 Edit_Dist: 20 
Round 201: Acc: 0.75200	 Loss: 0.56045	 Msg_len: 20.000	 Edit_Dist: 20 
Round 202: Acc: 0.75800	 Loss: 0.55349	 Msg_len: 20.000	 Edit_Dist: 20 
Round 203: Acc: 0.75300	 Loss: 0.55919	 Msg_len: 20.000	 Edit_Dist: 20 
Round 204: Acc: 0.75700	 Loss: 0.55466	 Msg_len: 20.000	 Edit_Dist: 20 
Round 205: Acc: 0.75400	 Loss: 0.55818	 Msg_len: 20.000	 Edit_Dist: 20 
Round 206: Acc: 0.75300	 Loss: 0.55905	 Msg_len: 20.000	 Edit_Dist: 20 
Round 207: Acc: 0.75100	 Loss: 0.56157	 Msg_len: 20.000	 Edit_Dist: 20 
Round 208: Acc: 0.75300	 Loss: 0.55931	 Msg_len: 20.000	 Edit_Dist: 20 
Round 209: Acc: 0.75600	 Loss: 0.55573	 Msg_len: 20.000	 Edit_Dist: 20 
Round 210: Acc: 0.75400	 Loss: 0.55822	 Msg_len: 20.000	 Edit_Dist: 20 
Round 211: Acc: 0.75800	 Loss: 0.55342	 Msg_len: 20.000	 Edit_Dist: 20 
Round 212: Acc: 0.75400	 Loss: 0.55805	 Msg_len: 20.000	 Edit_Dist: 20 
Round 213: Acc: 0.75100	 Loss: 0.56140	 Msg_len: 20.000	 Edit_Dist: 20 
Round 214: Acc: 0.75500	 Loss: 0.55712	 Msg_len: 20.000	 Edit_Dist: 20 
Round 215: Acc: 0.75100	 Loss: 0.56144	 Msg_len: 20.000	 Edit_Dist: 20 
Round 216: Acc: 0.75100	 Loss: 0.56121	 Msg_len: 20.000	 Edit_Dist: 20 
Round 217: Acc: 0.75400	 Loss: 0.55806	 Msg_len: 20.000	 Edit_Dist: 20 
Round 218: Acc: 0.75200	 Loss: 0.56019	 Msg_len: 20.000	 Edit_Dist: 20 
Round 219: Acc: 0.75800	 Loss: 0.55333	 Msg_len: 20.000	 Edit_Dist: 20 
Round 220: Acc: 0.75100	 Loss: 0.56121	 Msg_len: 20.000	 Edit_Dist: 20 
Round 221: Acc: 0.74900	 Loss: 0.56378	 Msg_len: 20.000	 Edit_Dist: 20 
Round 222: Acc: 0.75800	 Loss: 0.55362	 Msg_len: 20.000	 Edit_Dist: 20 
Round 223: Acc: 0.75100	 Loss: 0.56166	 Msg_len: 20.000	 Edit_Dist: 20 
Round 224: Acc: 0.75700	 Loss: 0.55506	 Msg_len: 20.000	 Edit_Dist: 20 
Round 225: Acc: 0.75800	 Loss: 0.55356	 Msg_len: 20.000	 Edit_Dist: 20 
Round 226: Acc: 0.74600	 Loss: 0.56684	 Msg_len: 20.000	 Edit_Dist: 20 
