Round 150: Acc: 0.91100	 Loss: 0.24863	 Msg_len: 17.588	 Edit_Dist: 6 
Round 151: Acc: 0.92400	 Loss: 0.20619	 Msg_len: 18.270	 Edit_Dist: 8 
Round 152: Acc: 0.93400	 Loss: 0.19177	 Msg_len: 18.653	 Edit_Dist: 7 
Round 153: Acc: 0.92700	 Loss: 0.19624	 Msg_len: 17.761	 Edit_Dist: 7 
Round 154: Acc: 0.93600	 Loss: 0.19063	 Msg_len: 17.356	 Edit_Dist: 6 
Round 155: Acc: 0.93200	 Loss: 0.17106	 Msg_len: 17.232	 Edit_Dist: 9 
Round 156: Acc: 0.83900	 Loss: 0.49255	 Msg_len: 4.071	 Edit_Dist: 14 
Round 157: Acc: 0.83200	 Loss: 0.43563	 Msg_len: 19.222	 Edit_Dist: 15 
Round 158: Acc: 0.90500	 Loss: 0.22855	 Msg_len: 20.000	 Edit_Dist: 9 
Round 159: Acc: 0.90200	 Loss: 0.24362	 Msg_len: 19.983	 Edit_Dist: 7 
Round 160: Acc: 0.92300	 Loss: 0.25194	 Msg_len: 14.777	 Edit_Dist: 9 
Round 161: Acc: 0.90200	 Loss: 0.22849	 Msg_len: 19.300	 Edit_Dist: 10 
Round 162: Acc: 0.90500	 Loss: 0.25679	 Msg_len: 14.524	 Edit_Dist: 13 
Round 163: Acc: 0.94400	 Loss: 0.18216	 Msg_len: 15.250	 Edit_Dist: 10 
Round 164: Acc: 0.90800	 Loss: 0.23077	 Msg_len: 19.002	 Edit_Dist: 9 
Round 165: Acc: 0.93700	 Loss: 0.17956	 Msg_len: 19.492	 Edit_Dist: 7 
Round 166: Acc: 0.92000	 Loss: 0.22408	 Msg_len: 17.382	 Edit_Dist: 8 
Round 167: Acc: 0.91400	 Loss: 0.22193	 Msg_len: 19.114	 Edit_Dist: 8 
Round 168: Acc: 0.92500	 Loss: 0.23572	 Msg_len: 16.771	 Edit_Dist: 8 
Round 169: Acc: 0.91900	 Loss: 0.22766	 Msg_len: 18.413	 Edit_Dist: 8 
Round 170: Acc: 0.92200	 Loss: 0.19658	 Msg_len: 19.072	 Edit_Dist: 8 
Round 171: Acc: 0.92900	 Loss: 0.18388	 Msg_len: 18.264	 Edit_Dist: 8 
Round 172: Acc: 0.91800	 Loss: 0.20922	 Msg_len: 18.404	 Edit_Dist: 7 
Round 173: Acc: 0.95200	 Loss: 0.15637	 Msg_len: 17.434	 Edit_Dist: 6 
Round 174: Acc: 0.95100	 Loss: 0.15199	 Msg_len: 14.749	 Edit_Dist: 6 
Round 175: Acc: 0.93400	 Loss: 0.19697	 Msg_len: 15.445	 Edit_Dist: 7 
Round 176: Acc: 0.90600	 Loss: 0.24185	 Msg_len: 16.248	 Edit_Dist: 9 
Round 177: Acc: 0.93400	 Loss: 0.19411	 Msg_len: 17.579	 Edit_Dist: 9 
Round 178: Acc: 0.92300	 Loss: 0.19813	 Msg_len: 18.018	 Edit_Dist: 7 
Round 179: Acc: 0.93400	 Loss: 0.18509	 Msg_len: 18.459	 Edit_Dist: 7 
Round 180: Acc: 0.92000	 Loss: 0.20197	 Msg_len: 17.979	 Edit_Dist: 7 
Round 181: Acc: 0.92000	 Loss: 0.20434	 Msg_len: 18.530	 Edit_Dist: 7 
Round 182: Acc: 0.92600	 Loss: 0.21180	 Msg_len: 6.526	 Edit_Dist: 13 
Round 183: Acc: 0.93300	 Loss: 0.19265	 Msg_len: 4.621	 Edit_Dist: 2 
Round 184: Acc: 0.95300	 Loss: 0.15328	 Msg_len: 3.612	 Edit_Dist: 1 
Round 185: Acc: 0.92800	 Loss: 0.20674	 Msg_len: 6.933	 Edit_Dist: 4 
Round 186: Acc: 0.91100	 Loss: 0.19996	 Msg_len: 12.264	 Edit_Dist: 6 
Round 187: Acc: 0.92700	 Loss: 0.21437	 Msg_len: 17.436	 Edit_Dist: 7 
Round 188: Acc: 0.92300	 Loss: 0.19132	 Msg_len: 15.406	 Edit_Dist: 7 
Round 189: Acc: 0.91700	 Loss: 0.22769	 Msg_len: 6.194	 Edit_Dist: 12 
Round 190: Acc: 0.90200	 Loss: 0.27832	 Msg_len: 13.680	 Edit_Dist: 9 
Round 191: Acc: 0.92700	 Loss: 0.18882	 Msg_len: 12.519	 Edit_Dist: 7 
Round 192: Acc: 0.92000	 Loss: 0.20604	 Msg_len: 8.904	 Edit_Dist: 8 
Round 193: Acc: 0.93300	 Loss: 0.18067	 Msg_len: 12.679	 Edit_Dist: 11 
Round 194: Acc: 0.91800	 Loss: 0.20015	 Msg_len: 18.549	 Edit_Dist: 10 
Round 195: Acc: 0.92600	 Loss: 0.18232	 Msg_len: 19.832	 Edit_Dist: 10 
